lawyer_name,title,firm_name,location,lawyer_about,languages,practice_areas,years_experience,join_date,connected,source
Liat Blacher,Senior Associate  ,Adviceline Injury Lawyers,"VIC, Australia",,English,,,"July 31st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-liat-blacher
Ian Bosley,Principal  ,myvisa4australia,"QLD, Australia",,English,,10,"September 16th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-ian-bosley
Gaby Boskovitz,Principal  ,Boskovitz  Associates Solicitors,"NSW, Australia"," ""We are experienced lawyers, located in Bondi Junction NSW.

The Principal, Gaby Boskovitz, has been in practice for almost 35years. In this time he has worked as a senior practitioner in the Sydney CBD and for the last 20 years as a sole practitioner.

We specialise in many areas of law including civil litigation, property law, planning and environment law and wills, trusts and estate law.""","English, Other",,35,"May 6th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-gaby-boskovitz
Brad Bolton,  ,Gleeson & Co,"VIC, Australia",,English,,5,"March 28th, 2013",24,https:/lawpath.com.au/lawyer-network/lawyer-brad-bolton
Alan Blumberg,Solicitor Director  ,Blackman Legal Pty Ltd,"NSW, Australia",,English,,25,"March 5th, 2013",15,https:/lawpath.com.au/lawyer-network/lawyer-alan-blumberg
Angela Boyd,Senior Associate   ,Edney Ryan Legal,"NSW, Australia",,English,,30,"July 31st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-angela-boyd
William Boyce,Principal  ,Boyce Family Law ,"NSW, Australia",,English,,9,"November 25th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-william-boyce
Bec Bowden,Principal Solicitor  ,Helberg & Associates,"VIC, Australia"," ""Helberg & Associates is a sole practitioner firm focusing primarily on Family Law. We also work in Conveyancing, WIlls and Powers of Attorney. We know how valuable your time is and as we are a mobile firm we can come to you when you have the time to see us!  """,English,,"4,1,2","February 11th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-bec-bowden
Jo Anne Chong,  ,JV Legal,"NSW, Australia",,English,,,"February 15th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-jo-anne-chong
Anna Carthew,Principal   ,Ballarat Legal Resolution Services ,"VIC, Australia",,,,,"July 23rd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-anna-carthew
Abdullah Altintop,Principal Solicitor  ,Melbourne Legal Group,"VIC, Australia",,"English, Other",,,"March 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-abdullah-altintop
Vivek Chitnis,  ,Chitnis Associates,"INDIA, India, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-vivek-chitnis
Erica Brooke Taylor,Principal  ,lexicon:legal,"NSW, Australia",,English,,12,"August 23rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-erica-brooke-taylor
Michael Arch,Principal  ,Concordia Pacific,"NSW, Australia"," ""Concordia Pacific offers a unique, client-friendly approach to Australian migration law. We provide assistance with all categories of Australian visas, including student, work and family visas. We provide the highest standard of client service, combining expertise with personalised, focussed attention to your matter at an affordable cost.""",English,,33,"March 19th, 2014",7,https:/lawpath.com.au/lawyer-network/lawyer-michael-arch
Mevanthi Batepola,,,,,English,,,"October 21st, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-mevanthi-batepola
Kisane Bird,Associate  ,Neumann & Turnour,"QLD, Australia "," ""I practice primarily in family law, with a broad range of experience in forms of alternative dispute resolution such as mediation and without prejudice conferences, as well as advocacy. 

I aim to sensitively guide clients through the process of separation and divorce, advising them thoroughly and negotiating practical solutions for issues from care of children to property settlements. 

I have acted in a number of unique cases involving international elements and questions of law. """,English,,6,"August 22nd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-kisane-bird
Steven Brown,Chairman  ,Etienne Lawyers,"NSW, Australia,   New Zealand,  Indonesia"," ""Provider of prompt, sophisticated and coherent legal help. Our clients call us legal magicians.""","English, Spanish, Russian, Other",,30,"March 6th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-steven-brown
Troy Andres,Principal  ,Gilton Valeo,"NSW, immigration law,  taxation law, Australia",,English,,13,"August 14th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-troy-andres
Kenneth Ang,Principal  ,K. Ang & Co.,"VIC, Australia",,English,,13,"July 22nd, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-kenneth-ang
Shane Anderton,Partner  ,Deutsch Miller,"NSW, Australia",,English,,12,"March 17th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-shane-anderton
Helen Amanatiadis,Principal Solicitor  ,H + Law,"NSW, Australia"," ""Helen is the principal solicitor of H + Law, a boutique commercial and construction law firm. 

She is committed to achieving commercial results for clients. As a result of her extensive experience in all areas of commercial litigation, consumer law, construction law and planning and development law, she is able to provide strategic and timely advice to clients at all stages of a project.

She is admitted as a practitioner of the Supreme Court of NSW and High Court of Australia. ""","English, Greek",,14,"September 2nd, 2014",13,https:/lawpath.com.au/lawyer-network/lawyer-helen-amanatiadis
Subhaga Amarasekara,Associate  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Experienced litigator and corporate advisor to individuals and multinational companies. Particular experience in the Supreme Court of NSW. “One of the most interesting parts of my job is to be able to tease out the issues with my clients, clarify what is and isn’t important, then trying to find a solution that the client is happy with – it’s always different and challenging.”""","English, Other",,,"April 30th, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-subhaga-amarasekara
Peter Andersen,Principal  ,PJA Legal,"NSW, Australia",,English,,18,"March 14th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-peter-andersen
Seyit Erciyas,Principal  ,Erci Lawyers,"VIC, Australia",,"English, Other",,,"November 1st, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-seyit-erciyas
Tom Ellicott,"Director, Accredited Specialist Business Law  ",Access Law Group Pty Limited,"NSW, Australia ",,English,,19,"May 15th, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-tom-ellicott
